createdAt,updatedAt,id,createdById,updatedById,name,type,fee,transport_fee,quantity,nop,total,description
2025-04-04 08:33:37.217+00,2025-05-04 07:44:53.98+00,15,1,3,D2D🅰️10 - 👤,D2D (A),950,200,10,1,1150,DOOR 2 DOOR (A) 1V1 - 10 LESSON
2025-04-04 08:33:49.426+00,2025-05-04 07:45:24.335+00,16,1,3,D2D🅰️1 - 👤👤,D2D (A),200,30,1,2,230,DOOR 2 DOOR (A) 1V2 - 1 LESSON / PERSON
2025-04-04 08:33:58.304+00,2025-05-04 07:45:35.451+00,17,1,3,D2D🅰️4 - 👤👤,D2D (A),640,100,4,2,740,DOOR 2 DOOR (A) 1V2 - 4 LESSON / PERSON
2025-04-04 08:34:12.088+00,2025-05-04 07:46:13.827+00,18,1,3,D2D🅰️10 - 👤👤,D2D (A),1500,200,10,2,1700,DOOR 2 DOOR (A) 1V2 - 10 LESSON / PERSON
2025-04-04 08:35:28.646+00,2025-05-04 07:46:34.659+00,19,1,3,D2D🅰️1 - 👤👤👤,D2D (A),270,30,1,3,300,DOOR 2 DOOR (A) 1V3 - 1 LESSON / PERSON
2025-04-04 08:35:40.612+00,2025-05-04 07:46:39.11+00,20,1,3,D2D🅰️4 - 👤👤👤,D2D (A),861,99,4,3,960,DOOR 2 DOOR (A) 1V3 - 4 LESSON / PERSON
2025-04-04 08:36:02.377+00,2025-05-04 07:46:45.104+00,21,1,3,D2D🅰️10 - 👤👤👤,D2D (A),1962,198,10,3,2160,DOOR 2 DOOR (A) 1V3 - 10 LESSON / PERSON
2025-04-04 08:36:17.373+00,2025-05-04 07:46:52.594+00,22,1,3,D2D🅰️1 - 👤👤👤👤,D2D (A),330,30,1,4,360,DOOR 2 DOOR (A) 1V4 - 1 LESSON / PERSON
2025-04-04 08:36:41.361+00,2025-05-04 07:47:03.155+00,23,1,3,D2D🅰️4 - 👤👤👤👤,D2D (A),1000,100,4,4,1100,DOOR 2 DOOR (A) 1V4 - 4 LESSON / PERSON
2025-04-04 08:36:57.442+00,2025-05-04 07:47:08.838+00,24,1,3,D2D🅰️10 - 👤👤👤👤,D2D (A),2300,200,10,4,2500,DOOR 2 DOOR (A) 1V4 - 10 LESSON / PERSON
2025-04-04 08:38:11.998+00,2025-05-04 07:47:20.922+00,25,1,3,D2D🅱️1 - 👤,D2D (B),120,60,1,1,180,DOOR 2 DOOR (B) 1V1 - 1 LESSON
2025-04-04 08:38:29.999+00,2025-05-04 07:47:24.758+00,26,1,3,D2D🅱️4 - 👤,D2D (B),400,200,4,1,600,DOOR 2 DOOR (B) 1V1 - 4 LESSON
2025-04-04 08:38:48.02+00,2025-05-04 07:47:30.464+00,27,1,3,D2D🅱️10 - 👤,D2D (B),950,400,10,1,1350,DOOR 2 DOOR (B) 1V1 - 10 LESSON
2025-04-04 08:39:04.142+00,2025-05-04 07:47:35.84+00,28,1,3,D2D🅱️1 - 👤👤,D2D (B),200,60,1,2,260,DOOR 2 DOOR (B) 1V2 - 1 LESSON / PERSON
2025-04-04 08:39:16.691+00,2025-05-04 07:47:45.394+00,29,1,3,D2D🅱️4 - 👤👤,D2D (B),640,200,4,2,840,DOOR 2 DOOR (B) 1V2 - 4 LESSON / PERSON
2025-04-04 08:39:42.894+00,2025-05-04 07:47:50.411+00,30,1,3,D2D🅱️10 - 👤👤,D2D (B),1500,400,10,2,1900,DOOR 2 DOOR (A) 1V2 - 10 LESSON / PERSON
2025-04-04 08:40:05.281+00,2025-05-04 07:48:02.325+00,31,1,3,D2D🅱️1 - 👤👤👤,D2D (B),270,60,1,3,330,DOOR 2 DOOR (B) 1V3 - 1 LESSON / PERSON
